Best model	R1	R4	R7	R6	R8	R9
Glyma04g05580.1	0	2.80628E-05	0	0	0	0
Glyma13g23090.2	0	0	0	0	0	6.54799E-05
Glyma11g13460.1	0	0	0	0	0	7.48342E-05
Glyma03g33530.1	0	8.41885E-05	0	0	0	0
Glyma03g36910.1	9.35427E-05	0	0	0	0	0
Glyma13g16170.1	0	0	0	9.35427E-05	0	0
Glyma9015s00200.1	9.35427E-05	0	0	0	0	0
Glyma06g06370.1	0	0	0	9.35427E-05	0	0
Glyma04g01470.1	0	9.35427E-05	0	0	0	0
Glyma17g14760.1	0	0	9.35427E-05	0	0	0
Glyma18g05770.1	0	0	0	0	9.35427E-05	0
Glyma11g29300.1	9.35427E-05	0	0	0	0	0
Glyma09g02490.1	0	0	0	0	9.35427E-05	0
Glyma16g31490.1	0	0	9.35427E-05	0	0	0
Glyma08g03020.1	9.35427E-05	0	0	0	0	0
Glyma07g38490.1	0	9.35427E-05	0	0	0	0
Glyma17g11950.1	0	9.35427E-05	0	0	0	0
Glyma19g31030.1	0	0	9.35427E-05	0	0	0
Glyma04g02180.1	0	0	0	0	0	9.35427E-05
Glyma07g36160.1	0	9.35427E-05	0	0	0	0
Glyma14g17300.2	0	9.35427E-05	0	0	0	0
Glyma06g44990.1	9.35427E-05	0	0	0	0	0
Glyma10g35120.1	0	0	9.35427E-05	0	0	0
Glyma14g07750.1	0	9.35427E-05	0	0	0	0
Glyma13g00450.1	0	0	0	0	0	9.35427E-05
Glyma11g16460.1	0	0	0	0	0	9.35427E-05
Glyma07g13320.1	0	0	0	9.35427E-05	0	0
Glyma19g00760.1	0	9.35427E-05	0	0	0	0
Glyma01g02300.1	0	0	0	0	0	9.35427E-05
Glyma18g51570.1	0	0	0	0	9.35427E-05	0
Glyma09g38820.1	9.35427E-05	0	0	0	0	0
Glyma05g00240.1	9.35427E-05	0	0	0	0	0
Glyma12g07700.1	0	0	0	0	9.35427E-05	0
Glyma19g30600.1	0	0	0	0	0	9.35427E-05
Glyma18g00310.1	0	0	0	9.35427E-05	0	0
Glyma14g01320.1	0	0	0	9.35427E-05	0	0
Glyma03g29540.1	0	0	0	0	9.35427E-05	0
Glyma14g36070.1	0	9.35427E-05	0	0	0	0
Glyma07g09730.1	0	9.35427E-05	0	0	0	0
Glyma05g02890.1	9.35427E-05	0	0	0	0	0
Glyma05g34190.1	0	0	0	0	0	9.35427E-05
Glyma20g28630.1	0	9.35427E-05	0	0	0	0
Glyma17g02270.1	0	9.35427E-05	0	0	0	0
Glyma19g45410.1	9.35427E-05	0	0	0	0	0
Glyma16g25560.1	0	0	0	9.35427E-05	0	0
Glyma9052s00200.1	9.35427E-05	0	0	0	0	0
Glyma10g39460.1	9.35427E-05	0	0	0	0	0
Glyma0430s00200.1	9.35427E-05	0	0	0	0	0
Glyma20g28200.1	0	0	0	0	0	9.35427E-05
Glyma03g38530.1	0	9.35427E-05	0	0	0	0
Glyma13g05440.2	0	0	0	9.35427E-05	0	0
Glyma18g03830.1	0	0	0	9.35427E-05	0	0
Glyma10g28180.1	0	0	0	0	0	9.35427E-05
Glyma20g16170.1	0	0	0	9.35427E-05	0	0
Glyma07g00410.1	0	0	9.35427E-05	0	0	0
Glyma03g33830.1	0	0	0	0	0	9.35427E-05
Glyma18g05120.1	9.35427E-05	0	0	0	0	0
Glyma17g01620.1	9.35427E-05	0	0	0	0	0
Glyma07g18500.1	0	0	0	9.35427E-05	0	0
Glyma18g02890.1	9.35427E-05	0	0	0	0	0
Glyma18g08210.1	0	9.35427E-05	0	0	0	0
Glyma19g06900.1	0	0	0	0	0	9.35427E-05
Glyma17g29030.1	0	9.35427E-05	0	0	0	0
Glyma17g18720.1	0	0	0	0	9.35427E-05	0
Glyma20g12070.1	0	9.35427E-05	0	0	0	0
Glyma04g03220.1	9.35427E-05	0	0	0	0	0
Glyma18g48640.1	0	0	0	0	9.35427E-05	0
Glyma18g52310.1	0	0	0	0	0	9.35427E-05
Glyma10g34490.1	0	0	0	0	0	9.35427E-05
Glyma17g14170.1	9.35427E-05	0	0	0	0	0
Glyma13g38280.1	9.35427E-05	0	0	0	0	0
Glyma13g18640.1	0	0	0	0	9.35427E-05	0
Glyma20g12150.1	0	9.35427E-05	0	0	0	0
Glyma08g18580.1	0	0	9.35427E-05	0	0	0
Glyma01g00430.1	0	9.35427E-05	0	0	0	0
Glyma20g00590.1	0	0	0	0	9.35427E-05	0
Glyma11g13650.1	0	0	0	9.35427E-05	0	0
Glyma19g17920.1	0	0	0	0	9.35427E-05	0
Glyma04g05810.1	0	9.35427E-05	0	0	0	0
Glyma12g01220.1	0	0	0	9.35427E-05	0	0
